session_id,vehicle_id,vehicle_type,number_plate,entry_time,exit_time,crossing_duration,run_type,algorithm,created_at
session_1781681691774,v74,auto_rickshaw,UP12AE5494,0.0,86.75,86.75,baseline,fixed_time,2026-06-17T07:34:59.657338
session_1781681691774,v85,two_wheeler,MH34FG1892,0.0,87.35,87.35,baseline,fixed_time,2026-06-17T07:34:59.737942
session_1781681691774,v78,ev_scooter,DL89YH9567,0.0,90.7,90.7,baseline,fixed_time,2026-06-17T07:35:00.447695
session_1781681691774,v88,car,GJ22UX4456,0.0,91.2,91.2,baseline,fixed_time,2026-06-17T07:35:01.074529
session_1781681691774,v80,ev_scooter,TN94YQ2072,0.0,93.5,93.5,baseline,fixed_time,2026-06-17T07:35:03.961876
session_1781681691774,v90,car,UP26LR6377,0.0,93.6,93.6,baseline,fixed_time,2026-06-17T07:35:04.089108
session_1781681691774,v79,auto_rickshaw,UP72ZE9235,0.0,94.2,94.2,baseline,fixed_time,2026-06-17T07:35:04.851101
session_1781681691774,v91,car,GJ97VO3388,0.0,94.8,94.8,baseline,fixed_time,2026-06-17T07:35:05.604178
session_1781681691774,v81,two_wheeler,KL91FR1427,0.0,94.95,94.95,baseline,fixed_time,2026-06-17T07:35:05.791870
session_1781681691774,v94,car,DL62SS3946,0.0,98.4,98.4,baseline,fixed_time,2026-06-17T07:35:10.117037
session_1781681691774,v95,car,AP38MQ1643,0.0,99.6,99.6,baseline,fixed_time,2026-06-17T07:35:11.619673
session_1781681691774,v86,two_wheeler,KL90IS7779,0.0,100.55,100.55,baseline,fixed_time,2026-06-17T07:35:12.810358
session_1781681691774,v73,two_wheeler,AP75UW5679,0.0,105.8,105.8,baseline,fixed_time,2026-06-17T07:35:19.459999
session_1781681691774,v68,auto_rickshaw,HR94LB4494,0.0,105.85,105.85,baseline,fixed_time,2026-06-17T07:35:19.529618
session_1781681691774,v83,auto_rickshaw,KL17YY6027,0.0,105.95,105.95,baseline,fixed_time,2026-06-17T07:35:19.677118
session_1781681691774,v71,car,HR94OU6195,0.0,106.05,106.05,baseline,fixed_time,2026-06-17T07:35:19.804317
session_1781681691774,v63,auto_rickshaw,KL11DC3994,0.0,106.65,106.65,baseline,fixed_time,2026-06-17T07:35:20.552279
session_1781681691774,v89,two_wheeler,MH43FP1923,0.0,106.9,106.9,baseline,fixed_time,2026-06-17T07:35:20.864531
session_1781681691774,v82,car,GJ12VM5362,0.0,107.25,107.25,baseline,fixed_time,2026-06-17T07:35:21.310604
session_1781681691774,v77,car,UP33MY1994,0.0,107.65,107.65,baseline,fixed_time,2026-06-17T07:35:21.818163
session_1781681691774,v84,cab,KA82NU1256,0.0,108.25,108.25,baseline,fixed_time,2026-06-17T07:35:22.568419
session_1781681691774,v70,car,MH74NE1660,0.0,108.35,108.35,baseline,fixed_time,2026-06-17T07:35:22.698325
session_1781681691774,v72,car,TS47MF5059,0.0,108.35,108.35,baseline,fixed_time,2026-06-17T07:35:22.715102
session_1781681691774,v106,cab,HR85HZ7571,0.0,112.8,112.8,baseline,fixed_time,2026-06-17T07:35:25.865549
session_1781681691774,v97,auto_rickshaw,KL34GR1822,0.0,114.2,114.2,baseline,fixed_time,2026-06-17T07:35:25.941803
session_1781681691774,v110,two_wheeler,MH99AX5421,0.0,116.8,116.8,baseline,fixed_time,2026-06-17T07:35:26.147855
session_1781681691774,v100,ev_scooter,MH51LO6197,0.0,118.7,118.7,baseline,fixed_time,2026-06-17T07:35:26.235577
session_1781681691774,v113,delivery_bike,TN15LQ7873,0.0,120.8,120.8,baseline,fixed_time,2026-06-17T07:35:26.426541
session_1781681691774,v102,e_rickshaw,GJ41GV8269,0.0,121.3,121.3,baseline,fixed_time,2026-06-17T07:35:26.434534
session_1781681691774,v107,car,GJ74UG8928,0.0,126.6,126.6,baseline,fixed_time,2026-06-17T07:35:26.771919
session_1781681691774,v118,truck,HR20YX9871,0.0,126.8,126.8,baseline,fixed_time,2026-06-17T07:35:26.832391
session_1781681691774,v108,ev_scooter,MH51VH9248,0.0,127.3,127.3,baseline,fixed_time,2026-06-17T07:35:26.852978
session_1781681691774,v112,e_rickshaw,TS11PX6143,0.0,132.2,132.2,baseline,fixed_time,2026-06-17T07:35:27.211312
session_1781681691774,v125,two_wheeler,TS11RD5855,0.0,134.8,134.8,baseline,fixed_time,2026-06-17T07:35:27.418191
session_1781681691774,v127,two_wheeler,KL20JY3952,0.0,137.8,137.8,baseline,fixed_time,2026-06-17T07:35:27.639340
session_1781681691774,v87,two_wheeler,DL66NP5856,0.0,139.8,139.8,baseline,fixed_time,2026-06-17T07:35:27.778588
session_1781681691774,v93,delivery_bike,AP84XG3414,0.0,139.8,139.8,baseline,fixed_time,2026-06-17T07:35:27.786175
session_1781681691774,v92,car,AP21LV3849,0.0,139.9,139.9,baseline,fixed_time,2026-06-17T07:35:27.801412
session_1781681691774,v103,car,GJ52AP9895,0.0,140.0,140.0,baseline,fixed_time,2026-06-17T07:35:27.808227
session_1781681691774,v96,car,KA66IU7450,0.0,140.1,140.1,baseline,fixed_time,2026-06-17T07:35:27.815383
session_1781681691774,v99,two_wheeler,UP48VU4237,0.0,140.4,140.4,baseline,fixed_time,2026-06-17T07:35:27.829095
session_1781681691774,v130,car,AP78IX4601,0.0,140.8,140.8,baseline,fixed_time,2026-06-17T07:35:27.898663
session_1781681691774,v117,ev_scooter,TS42IX4553,0.0,141.2,141.2,baseline,fixed_time,2026-06-17T07:35:27.898663
